filename,emotion,text,llm_pred_emotion,llm_rationale
s_001_1.wav,sad,"Якщо в тебе щось не виходить,",neutral,Incomplete conditional statement without clear emotional content.
s_002_1.wav,sad,Але я тебе ніколи не бачила.,neutral,Simple factual statement about not having seen someone before.
s_003_0.wav,sad,Якраз для дівчаток. Тримай.,happy,"Friendly, giving gesture with positive tone suggesting helpfulness."
s_004_1.wav,sad,Я цих 700 грн ділила на 30 днів.,neutral,Mathematical calculation statement with no emotional valence.
s_005_1.wav,sad,Нічого не відчуваю.,sad,Expression of emotional numbness or emptiness.
s_006_1.wav,sad,З дитиною він не грався.,sad,Statement about lack of father-child interaction suggests neglect or sadness.
s_007_0.wav,sad,Тато з ким спілкуєшся?,neutral,Simple question asking about communication without emotional charge.
s_008_1.wav,sad,Я би не змогла відправити сина жити окремо.,sad,Expression of inability to separate from child shows emotional distress.
s_009_0.wav,sad,Вони з татом не спілкувалися.,sad,Statement about lack of father-son communication suggests family problems.
s_010_1.wav,sad,"Я не вірю, щоб",neutral,Incomplete statement of disbelief without clear emotional direction.
s_011_1.wav,sad,"А я вважаю, що я зробила себе сама.",happy,Statement of self-empowerment and personal achievement with positive tone.
s_012_1.wav,sad,"Я кажу, відвези мене додому.",neutral,Simple request to be taken home without emotional charge.
s_013_1.wav,sad,Вона через 10-15 хвилин.,neutral,Factual time reference without emotional content.
s_014_1.wav,sad,Якби просто поруч не чоловік.,neutral,Incomplete hypothetical statement about man's presence without clear emotion.
s_015_1.wav,sad,Я не уявляю свого життя без нього.,happy,Expression of deep attachment and love for someone.
s_016_1.wav,sad,Шок був дуже сильний.,sad,Description of intense shock indicates distress or trauma.
s_017_1.wav,sad,Це важко було?,neutral,Simple question about difficulty level without emotional charge.
s_018_1.wav,sad,Це важко було без вікна.,sad,Statement about difficulty without window suggests hardship or discomfort.
s_019_1.wav,sad,"Зробиш мені, будь ласка, чайчик.",neutral,Polite request for tea without emotional charge.
s_020_0.wav,sad,"Нема слів, просто чесно.",sad,Expression of being speechless suggests overwhelming emotion or disappointment.
s_021_1.wav,sad,лікарі заборонили нам пів року пробувати.,sad,Doctors forbidding something for half a year suggests disappointment or distress.
s_022_1.wav,sad,Я вже трішечки прийшла в себе.,neutral,Statement about recovering or coming to oneself is factual without clear emotion.
s_023_1.wav,sad,Як вдалося вам її зберегти?,neutral,"Simple question about how something was preserved, no emotional valence."
s_024_1.wav,sad,Але кохання не було в мене ніколи до нього.,sad,Statement about never having love suggests melancholy or regret.
s_025_1.wav,sad,Він і почав жбурляти їх в мене.,angry,Someone throwing things at the speaker indicates aggression and conflict.
s_026_0.wav,sad,Я допомагав трішечки зовсім.,neutral,"Simple statement about helping a little bit, factual tone."
s_027_1.wav,sad,самостійне життя.,neutral,Brief phrase about independent life without emotional context.
s_028_1.wav,sad,"Гіршого дня і в мене ще й не було, мабуть, в житті.",sad,Describing the worst day in life clearly expresses deep sadness.
s_029_1.wav,sad,Не просто рибку з'їсти.,neutral,Statement about eating fish appears factual without emotional weight.
s_030_1.wav,sad,"не обійме мене, вона більше не поцілує мене.",sad,Missing physical affection like hugs and kisses expresses longing and sadness.
s_031_1.wav,sad,Я дуже багато плакала.,sad,Crying a lot is a direct expression of sadness.
s_032_1.wav,sad,Ну не було його.,neutral,"Simple statement that someone wasn't there, factual without emotion."
s_033_1.wav,sad,"Я дуже багато плакала, дуже боляче.",sad,Crying a lot and feeling pain clearly indicates deep sadness.
s_034_1.wav,sad,Не відчувала себе потрібною рідним.,sad,Not feeling needed by family expresses loneliness and sadness.
s_035_1.wav,sad,вона не відчувала себе потрібною рідним.,sad,Not feeling needed by family indicates emotional distress and sadness.
s_036_1.wav,sad,В мене аж слів немає до сих пір.,neutral,Being at a loss for words could indicate surprise but lacks clear emotion.
s_037_1.wav,sad,"Ну, каже, а що ти тут робиш? Ти дурна?",angry,Calling someone stupid indicates hostility and anger.
s_038_1.wav,sad,Та ніхто просто цьому не підтримав.,sad,Nobody supporting something suggests disappointment and sadness.
s_039_1.wav,sad,Мені дуже стидно було.,sad,Feeling very ashamed expresses emotional distress and sadness.
s_040_1.wav,sad,"поясняти лікарю, що маму хочуть виписати.",neutral,Explaining to a doctor about discharge is a factual statement.
s_041_1.wav,sad,Я приходила у велику фарму.,neutral,Simple factual statement about visiting a large pharmacy.
s_042_1.wav,sad,роди дуже важкі були.,sad,"Describes very difficult childbirth, expressing hardship and suffering."
s_043_1.wav,sad,"Так як в мене були дуже важкі пологи,",sad,"Mentions very difficult childbirth experience, indicating pain or trauma."
s_044_1.wav,sad,І буду робити ще більше.,happy,"Expresses determination to do even more, showing positive motivation."
s_045_1.wav,sad,Відношення до мене не дуже добре.,sad,"States that treatment toward them is not very good, indicating hurt."
s_046_1.wav,sad,"Можливо, ти завтра ще?",neutral,"Simple question about tomorrow, no clear emotional content."
s_047_1.wav,sad,Він дуже хороший батько.,happy,"Praises someone as a very good father, expressing positive sentiment."
s_048_1.wav,sad,Просто не вистачало поспілкуватися з людиною.,sad,"Expresses lack of communication with people, indicating loneliness or isolation."
s_049_1.wav,sad,"Бо мені причулось, що Карпачов мені 10 балів би дав.",happy,Expresses positive expectation about receiving high score from Karpachov.
s_050_1.wav,sad,"Ну, просто найкращий чоловік, якого я просто знаю.",happy,"Describes someone as the best man they know, very positive."
s_051_1.wav,sad,Він прожив три дні і,neutral,"Incomplete statement about someone living three days, factual tone."
s_052_1.wav,sad,"Він прожив три дні, і в нього стався",sad,"Mentions someone living only three days before something happened, tragic implication."
s_053_1.wav,sad,Вони навіть на них наводяться швидко.,neutral,Factual statement about something being quickly targeted or aimed.
s_054_0.wav,sad,Не може бути дитині 29 років?,neutral,Simple question about a child being 29 years old.
s_055_1.wav,sad,"Ну, мабуть, тим, що",neutral,"Incomplete thought beginning with probably, no clear emotion."
s_056_1.wav,sad,Я не хочу піти.,sad,"States not wanting to leave, expressing reluctance or distress."
s_057_1.wav,sad,Коли в мене було вже тридцять дітей.,neutral,"States having thirty children, factual though unusual claim."
s_058_1.wav,sad,Я розлучилася зі своїм першим чоловіком.,sad,"Mentions divorce from first husband, indicating relationship failure and sadness."
s_059_1.wav,sad,Я настільки ненавиділа їхню матір.,angry,"Expresses strong hatred toward their mother, clear anger and resentment."
s_060_1.wav,sad,"Ну, я пам'ятаю, він просто лежить і тримається за голову.",sad,"Describes someone lying down holding their head, suggests pain or distress."
